Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Asia,Afganistán,Vino,Consumo,2013,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2013,1000 hl,0.0
Asia,Afganistán,Vino,Producción,2013,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2014,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2014,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2014,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2015,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2015,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2015,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2016,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2016,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2016,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2017,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2017,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2017,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2018,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2018,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2018,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2019,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2019,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2019,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2020,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2020,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2020,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2021,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2021,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2021,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2022,1000 hl,1.0
Asia,Afganistán,Vino,Importaciones,2022,1000 hl,0.0
Asia,Afganistán,Vino,Producción,2022,1000 hl,0.0
Asia,Afganistán,Vino,Consumo,2023,1000 hl,1.0
Asia,Afganistán,Vino,Producción,2023,1000 hl,0.0
Europa,Albania,Vino,Consumo,2013,1000 hl,209.0
Europa,Albania,Vino,Exportaciones,2013,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2013,1000 hl,22.0
Europa,Albania,Vino,Producción,2013,1000 hl,180.0
Europa,Albania,Vino,Consumo,2014,1000 hl,196.0
Europa,Albania,Vino,Exportaciones,2014,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2014,1000 hl,16.0
Europa,Albania,Vino,Producción,2014,1000 hl,175.0
Europa,Albania,Vino,Consumo,2015,1000 hl,219.0
Europa,Albania,Vino,Exportaciones,2015,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2015,1000 hl,84.0
Europa,Albania,Vino,Producción,2015,1000 hl,164.0
Europa,Albania,Vino,Consumo,2016,1000 hl,233.0
Europa,Albania,Vino,Exportaciones,2016,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2016,1000 hl,41.0
Europa,Albania,Vino,Producción,2016,1000 hl,178.0
Europa,Albania,Vino,Consumo,2017,1000 hl,217.0
Europa,Albania,Vino,Exportaciones,2017,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2017,1000 hl,47.0
Europa,Albania,Vino,Producción,2017,1000 hl,169.0
Europa,Albania,Vino,Consumo,2018,1000 hl,207.0
Europa,Albania,Vino,Exportaciones,2018,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2018,1000 hl,46.0
Europa,Albania,Vino,Producción,2018,1000 hl,153.0
Europa,Albania,Vino,Consumo,2019,1000 hl,217.0
Europa,Albania,Vino,Exportaciones,2019,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2019,1000 hl,49.0
Europa,Albania,Vino,Producción,2019,1000 hl,187.0
Europa,Albania,Vino,Consumo,2020,1000 hl,234.0
Europa,Albania,Vino,Exportaciones,2020,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2020,1000 hl,41.0
Europa,Albania,Vino,Producción,2020,1000 hl,192.0
Europa,Albania,Vino,Consumo,2021,1000 hl,291.0
Europa,Albania,Vino,Exportaciones,2021,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2021,1000 hl,55.0
Europa,Albania,Vino,Producción,2021,1000 hl,295.0
Europa,Albania,Vino,Consumo,2022,1000 hl,316.0
Europa,Albania,Vino,Exportaciones,2022,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2022,1000 hl,54.0
Europa,Albania,Vino,Producción,2022,1000 hl,228.0
Europa,Albania,Vino,Consumo,2023,1000 hl,253.0
Europa,Albania,Vino,Exportaciones,2023,1000 hl,0.0
Europa,Albania,Vino,Importaciones,2023,1000 hl,54.0
Europa,Albania,Vino,Producción,2023,1000 hl,211.0
Europa,Alemania,Vino,Consumo,2013,1000 hl,20400.0
Europa,Alemania,Vino,Exportaciones,2013,1000 hl,3903.0
Europa,Alemania,Vino,Importaciones,2013,1000 hl,15274.0
Europa,Alemania,Vino,Producción,2013,1000 hl,8409.0
Europa,Alemania,Vino,Consumo,2014,1000 hl,20300.0
Europa,Alemania,Vino,Exportaciones,2014,1000 hl,3675.0
Europa,Alemania,Vino,Importaciones,2014,1000 hl,15482.0
Europa,Alemania,Vino,Producción,2014,1000 hl,9202.0
Europa,Alemania,Vino,Consumo,2015,1000 hl,20500.0
Europa,Alemania,Vino,Exportaciones,2015,1000 hl,3928.0
Europa,Alemania,Vino,Importaciones,2015,1000 hl,15420.0
Europa,Alemania,Vino,Producción,2015,1000 hl,8819.0
Europa,Alemania,Vino,Consumo,2016,1000 hl,20200.0
Europa,Alemania,Vino,Exportaciones,2016,1000 hl,3609.0
Europa,Alemania,Vino,Importaciones,2016,1000 hl,14851.0
