DOPs,Año,País,Ventas
Abadía Retuerta,2023,Alemania,40
Abona,2023,Alemania,0
Alella,2023,Alemania,0
Alicante,2023,Alemania,7391
Almansa,2023,Alemania,2440
Arlanza,2023,Alemania,11
Arribes,2023,Alemania,0
Aylés,2023,Alemania,197
Bierzo,2023,Alemania,1287
Binissalem,2023,Alemania,312
Bolandin,2023,Alemania,5
Bullas,2023,Alemania,3694
Calatayud,2023,Alemania,1661
Calzadilla,2023,Alemania,9
Campo de Borja,2023,Alemania,7353
Campo de la Guardia,2023,Alemania,26
Cangas,2023,Alemania,0
Cariñena,2023,Alemania,43302
Casa del Blanco,2023,Alemania,0
Cataluña,2023,Alemania,7298
Cava,2023,Alemania,227167
Cebreros,2023,Alemania,23
Chacolí de Álava,2023,Alemania,5
Chacolí de Bizkaia,2023,Alemania,7
Chacolí de Getaria,2023,Alemania,82
Chozas Carrascal,2023,Alemania,1
Cigales,2023,Alemania,550
Conca de Barberá,2023,Alemania,55
Condado de Huelva,2023,Alemania,1
Costers del Segre,2023,Alemania,200
Dehesa del Carrizal,2023,Alemania,19
Dehesa Peñalba,2023,Alemania,0
Dominio de Valdepusa,2023,Alemania,15
El Hierro,2023,Alemania,0
El Terrerazo,2023,Alemania,7
Empordà,2023,Alemania,464
Finca Élez,2023,Alemania,63
Gran Canaria,2023,Alemania,0
Granada,2023,Alemania,26
Guijoso,2023,Alemania,0
Islas Canarias,2023,Alemania,0
Jerez-Xérès-Sherry,2023,Alemania,12947
Jumilla,2023,Alemania,13645
La Gomera,2023,Alemania,0
La Mancha,2023,Alemania,45892
La Palma,2023,Alemania,21
Lanzarote,2023,Alemania,34
Lebrija,2023,Alemania,0
León,2023,Alemania,0
Los Balagueses,2023,Alemania,12
Málaga,2023,Alemania,242
Manchuela,2023,Alemania,491
Manzanilla S.B.,2023,Alemania,148
Méntrida,2023,Alemania,59
Mondéjar,2023,Alemania,0
Monterrei,2023,Alemania,32
Montilla-Moriles,2023,Alemania,181
Montsant,2023,Alemania,1278
Navarra,2023,Alemania,12135
Pago de Arínzano,2023,Alemania,1158
Pago de Otazu,2023,Alemania,3
Pago El Vicario,2023,Alemania,0
Pago Florentino,2023,Alemania,9
Pago La Jaraba,2023,Alemania,110
Pago Los Cerrillos,2023,Alemania,0
Pago Vallegarcía,2023,Alemania,86
Penedés,2023,Alemania,3483
Pla de Bages,2023,Alemania,48
Pla i Llevant,2023,Alemania,457
Prado de Irache,2023,Alemania,0
Priorat,2023,Alemania,1215
Rías Baixas,2023,Alemania,1646
Ribeira Sacra,2023,Alemania,48
Ribeiro,2023,Alemania,2250
Ribera del Duero,2023,Alemania,10680
Ribera del Guadiana,2023,Alemania,429
Ribera del Júcar,2023,Alemania,136
Rioja,2023,Alemania,132450
Rueda,2023,Alemania,14232
Sierra de Salamanca,2023,Alemania,15
Sierras de Málaga,2023,Alemania,3482
Somontano,2023,Alemania,5286
Tacoronte-Acentejo,2023,Alemania,385
Tarragona,2023,Alemania,59
Terra Alta,2023,Alemania,330
Tierra del Vino de Zamora,2023,Alemania,16
Toro,2023,Alemania,0
Uclés,2023,Alemania,938
Urueña,2023,Alemania,0
Utiel-Requena,2023,Alemania,5145
Valdeorras,2023,Alemania,117
Valdepeñas,2023,Alemania,16889
Valencia,2023,Alemania,17831
Valle de Güímar,2023,Alemania,0
Valle de la Orotava,2023,Alemania,63
Valles de Benavente,2023,Alemania,27
Valtiendas,2023,Alemania,0
Vera de Estenas,2023,Alemania,1
Vinos de Madrid,2023,Alemania,285
Ycoden-Daute-Isora,2023,Alemania,14
Yecla,2023,Alemania,0
