DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Abadía Retuerta;2023;40;3;9;1;0;0;7;0;0;0;0;97;0;23;0;0;0;0;0;18;0;6;1;0;0;0;2;428;25;0;0;0;1;12;15;10;39;0;58;0;13;0;12;0;0;0;0;55;0;764;0;0;0;0;2277,443223
Abona;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alella;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alicante;2023;7391;120;1633;67;0;0;482;3;5;978;70;1770;5;1342;43;1027;63;33;1067;45;5;1381;12;32;2;445;49;439;793;529;1572;0;461;711;0;1732;187;0;212;202;1163;0;817;730;32;7;1946;6443;1440;21284;24;412;0;0;60,47721515
Almansa;2023;2440;11;764;4;0;0;846;0;0;1575;4488;111;0;1048;3;76;449;295;37;4;4;194;23;9;42;964;0;411;84;599;251;0;52;7910;16;1190;46;0;135;529;1768;0;990;868;27;0;0;2410;680;25173;0;0;0;0;329,8325019
Arlanza;2023;11;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;6;2;0;0;0;0;0;38;0;0;0;0;893,4210526
Arribes;2023;0;0;17;0;0;0;27;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;19;18;44;0;0;0;0;0;0;21;0;0;0;2;6;0;28;0;0;0;0;8;0;181;0;0;0;0;878,3068783
Aylés;2023;197;12;31;0;0;0;19;0;0;11;0;0;0;68;0;0;0;98;0;9;0;110;0;12;0;0;0;124;9;0;7;0;0;15;0;94;0;0;15;0;0;60;0;78;20;30;0;0;19;1000;0;0;0;0;556,2168793
Bierzo;2023;1287;84;405;0;0;0;410;12;0;10;99;200;6;932;8;69;22;1;1;31;3;55;19;12;13;306;106;530;640;232;319;1;144;870;0;2563;369;5;481;0;424;0;243;257;177;19;0;2102;1454;7809;0;0;0;0;1200
Binissalem;2023;312;0;1;0;0;0;10;0;0;1;0;0;0;2;0;4;1;0;0;0;0;0;0;0;0;28;12;363;0;8;0;0;0;2;0;66;0;0;7;0;0;0;4;0;7;0;0;33;37;755;0;3;0;0;1045,300725
