Nombre,Imagen,Web
Abadía Retuerta,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/376_tcm30-634099.png,https://www.abadia-retuerta.com/
Abona,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/abona_tcm30-210643.gif,https://vinosdeabona.com
Alella,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/239_tcm30-211759.png,https://doalella.com/es/
Alicante,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/240_tcm30-211644.jpg,https://vinosalicantedop.org
Almansa,https://www.mapa.gob.es/images/es/241_tcm30-210473.png,https://denominacion-origen-almansa.com
Arlanza,https://github.com/Xicu980/WineProject/blob/main/data/img/arlanza.png?raw=true,https://arlanza.org
Arribes,https://www.mapa.gob.es/images/es/244_tcm30-210996.jpg,https://doarribes.es
Aylés,https://www.mapa.gob.es/images/es/245_tcm30-631634.jpg,https://www.pagoayles.com
Bierzo,https://www.mapa.gob.es/images/es/250_tcm30-634092.png,https://www.crdobierzo.es/es/
Binissalem,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/251_1_tcm30-211754.png,https://binissalemdo.com
Bolandin,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/377_1_tcm30-635225.png,https://www.pagodecirsus.com/
Bullas,https://www.mapa.gob.es/images/es/252_tcm30-211769.jpg,https://vinosdebullas.es/
Calatayud,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/calatayud_tcm30-211684.png,https://www.docalatayud.com/
Calzadilla,https://pagocalzadilla.com/wp-content/uploads/2020/08/logo-calzadilla-2020-negro-170.png,https://pagocalzadilla.com
Campo de Borja,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/campoborja_logo_tcm30-210137.gif,https://docampodeborja.com/
Campo de la Guardia,https://www.mapa.gob.es/images/es/258_tcm30-634052.jpg,https://martue.com/
Cangas,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/259_tcm30-631673.png,https://docangas.es/
Cariñena,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/carinena_tcm30-211723.jpg,https://elvinodelaspiedras.es/
Casa del Blanco,https://www.mapa.gob.es/images/es/261_tcm30-634053.png,https://pagocasadelblanco.com/
Cataluña,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/265_tcm30-211124.png,https://docat.cat/es/
Cava,https://www.mapa.gob.es/images/es/266_1_tcm30-211320.PNG,https://www.cava.wine/es/
Cebreros,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/267_tcm30-634093.png,https://dopcebreros.com/
Chacolí de Álava,https://github.com/Xicu980/WineProject/blob/main/data/img/alava.png?raw=true,https://txakolidealava.eus
Chacolí de Bizkaia,https://bizkaikotxakolina.eus/wp-content/uploads/2023/01/logo_bizkaiko_txakolina.svg,https://bizkaikotxakolina.eus
Chacolí de Getaria,https://github.com/Xicu980/WineProject/blob/main/data/img/getaria.png?raw=true,https://www.getariakotxakolina.eus/?lang=es
Chozas Carrascal,https://github.com/Xicu980/WineProject/blob/main/data/img/carrascal.png?raw=true,https://chozascarrascal.com
Cigales,https://www.mapa.gob.es/images/es/272_1_tcm30-211455.png,https://www.do-cigales.es/
Conca de Barberá,https://www.mapa.gob.es/images/es/273_tcm30-211005.jpg,https://www.doconcadebarbera.com/
Condado de Huelva,https://www.mapa.gob.es/images/es/condado_huelva_logo_tcm30-210958.gif,https://docondadodehuelva.es/
Costers del Segre,https://www.mapa.gob.es/images/es/277_tcm30-210158.jpg,https://www.costersdelsegre.es/
Dehesa del Carrizal,https://www.mapa.gob.es/images/es/279_tcm30-634056.png,https://www.dehesadelcarrizal.com/
Dehesa Peñalba,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/378_1_tcm30-635176.jpg,https://www.bodegasvizar.es/
Dominio de Valdepusa,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/281_tcm30-634058.jpg,http://www.pagosdefamilia.es/
El Hierro,https://www.mapa.gob.es/images/es/282_tcm30-211679.jpg,https://doelhierro.es/
El Terrerazo,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/283_tcm30-635115.PNG,https://www.bodegamustiguillo.com/
Empordà,https://www.mapa.gob.es/images/es/do_emporda_tcm30-634104.png,https://www.doemporda.cat/
Finca Élez,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/finca-elez1_tcm30-634084.png,https://pagofincaelez.com/
